Pays,Année,Female_Death_Per100K,Male_Death_Per100K,Total_Death_Per100K,Nbr_Death
Costa Rica,2016,1.02597,0.70192,0.86387,41.96055
Croatia,2016,0.14178,0.08007,0.11204,4.72051
Cuba,2016,1.04843,1.00429,1.02635,117.7832
Cyprus,2016,0.269,0.28913,0.27908,3.26564
Czechia,2016,0.21096,0.14554,0.17881,18.97327
Côte d'Ivoire,2016,44.73841,49.50985,47.15776,11174.47
Democratic People's Republic of Korea,2016,1.1235,1.60006,1.35658,344.1445
Democratic Republic of the Congo,2016,49.79718,69.76294,59.75592,47049.52
Denmark,2016,0.41632,0.19373,0.30561,17.45619
Djibouti,2016,33.22502,29.36276,31.28645,294.826
Dominican Republic,2016,2.1909,2.22008,2.20544,234.8522
Ecuador,2016,0.65657,0.62773,0.64215,105.2175
Egypt,2016,2.18807,1.82045,2.2022,1915.882
El Salvador,2016,1.63727,2.41991,2.00514,127.2203
Equatorial Guinea,2016,23.93949,20.95419,22.28946,272.2647
Eritrea,2016,43.51273,47.60817,45.56445,2257.556
Estonia,2016,0.00396,0.00889,0.00627,0.08229
Eswatini,2016,29.75814,25.90795,27.89303,374.6307
Ethiopia,2016,40.80663,46.52964,43.66399,44713.33
Fiji,2016,2.23365,3.52102,2.88769,25.95353
